Date,Open,Close,High,Low,Volume
2018-01-01 00:00:00,13769.0,13394.0,13788.0,13214.0,5153.54957568
2018-01-01 04:00:00,13393.0,13624.0,13893.0,13262.0,3518.10164
2018-01-01 08:00:00,13619.0,13231.0,13751.0,13072.0,5067.9264004999995
2018-01-01 12:00:00,13234.0,13208.0,13290.0,12777.0,6589.77176708
2018-01-01 16:00:00,13208.0,13249.0,13289.0,12950.00953353,4006.29646648
2018-01-01 20:00:00,13249.0,13376.0,13662.0,13249.0,5229.29845754
2018-01-02 00:00:00,13375.0,13316.0,13898.0,13200.0,8463.9455823
2018-01-02 04:00:00,13316.0,13354.0,13382.0,12795.0,6469.30264771
2018-01-02 08:00:00,13355.0,13532.0,13679.0,13326.15344954,4250.13638008
2018-01-02 12:00:00,13531.0,13710.0,13979.0,13503.20378177,6524.38553411
2018-01-02 16:00:00,13712.0,14820.0,15500.0,13663.0,19814.79292273
2018-01-02 20:00:00,14821.0,14722.0,15285.0,14636.0,10670.38966249
2018-01-03 00:00:00,14717.0,14843.0,15249.0,14692.0,6654.76594872
2018-01-03 04:00:00,14842.0,15281.0,15428.83091885,14842.0,5997.33659229
2018-01-03 08:00:00,15281.0,14844.0,15285.0,14507.0,8069.76983054
2018-01-03 12:00:00,14848.0,15072.0,15072.0,14500.0,5719.44415917
2018-01-03 16:00:00,15072.0,14726.0,15214.0,14725.0,6453.86726662
2018-01-03 20:00:00,14726.0,15150.0,15192.0,14703.0,5463.18965492
2018-01-04 00:00:00,15150.0,15055.0,15422.15785315,14936.0,8217.13034852
2018-01-04 04:00:00,15055.0,14795.0,15055.0,14720.0,6656.6034242
2018-01-04 08:00:00,14790.0,14528.0,14848.0,14060.0,9367.6234016
2018-01-04 12:00:00,14528.0,14466.0,14696.0,14159.0,8493.34156044
2018-01-04 16:00:00,14465.0,14975.0,15061.0,14350.0,7604.87919748
2018-01-04 20:00:00,14976.0,15159.0,15198.0,14809.0,6140.3547104
2018-01-05 00:00:00,15159.0,14924.0,15193.0,14893.0,4410.06814895
2018-01-05 04:00:00,14923.0,14920.0,15050.0,14725.0,4337.35344191
2018-01-05 08:00:00,14922.0,16107.0,16242.0,14901.0,16393.29223318
2018-01-05 12:00:00,16104.0,16059.0,16150.0,15780.0,7218.10145277
2018-01-05 16:00:00,16059.0,16450.0,16620.0,16054.0,12522.62486684
2018-01-05 20:00:00,16451.0,16911.0,17105.0,16303.0,9746.21092153
2018-01-06 00:00:00,16912.0,16581.0,17099.0,16535.0,6236.23033793
2018-01-06 04:00:00,16581.0,16504.0,16720.0,16372.25644975,4561.52144393
2018-01-06 08:00:00,16504.0,16519.0,16749.0,16341.0,3852.40044146
2018-01-06 12:00:00,16520.0,16620.0,16690.0,16251.0,4332.99187744
2018-01-06 16:00:00,16625.0,16756.0,16999.0,16566.0,4986.88607815
2018-01-06 20:00:00,16745.0,17163.0,17252.0,16711.0,5646.44953732
2018-01-07 00:00:00,17169.0,16723.0,17178.0,16598.0,5612.73767064
2018-01-07 04:00:00,16723.0,16742.0,16811.0,16404.0,4975.78066449
2018-01-07 08:00:00,16743.0,16607.0,16913.0,16606.0,2811.23718747
2018-01-07 12:00:00,16606.0,16470.0,16640.59491721,16337.0,4069.76829188
2018-01-07 16:00:00,16470.0,16130.0,16480.0,15712.0,9774.37970913
2018-01-07 20:00:00,16131.0,16215.35727958,16498.0,15953.0,3594.18696864
2018-01-08 00:00:00,16213.0,15625.0,16329.0,15515.0,8304.25419096
2018-01-08 04:00:00,15624.0,15885.0,15977.0,15510.0,4574.69793278
2018-01-08 08:00:00,15885.0,15488.0,15892.0,15101.0,8161.75909606
2018-01-08 12:00:00,15489.0,14399.0,15536.0,13755.0,23578.53761797
2018-01-08 16:00:00,14400.0,15085.0,15117.0,14347.0,11288.48718069
2018-01-08 20:00:00,15087.0,14907.0,15152.0,14420.0,9044.96652724
2018-01-09 00:00:00,14906.0,15239.0,15348.0,14808.0,6238.56571307
2018-01-09 04:00:00,15238.2480385,15122.0,15355.0,14751.0,6453.71396395
2018-01-09 08:00:00,15124.0,14766.0,15290.0,14415.0,6510.31614161
2018-01-09 12:00:00,14764.0,14679.0,14874.0,14122.0,12026.67810812
2018-01-09 16:00:00,14678.0,14722.0,14998.0,14577.0,5563.56624967
2018-01-09 20:00:00,14714.0,14425.0,14805.0,14153.0,6642.27416875
2018-01-10 00:00:00,14426.0,14074.0,14479.0,13875.0,8848.4909324
2018-01-10 04:00:00,14075.0,14078.0,14383.0,14001.0,6805.03592399
2018-01-10 08:00:00,14083.0,13957.0,14084.0,13300.0,13022.65498932
2018-01-10 12:00:00,13948.0,14336.0,14498.0,13510.0,13737.69852241
2018-01-10 16:00:00,14336.0,14353.0,14682.0,14226.0,9062.84910714
2018-01-10 20:00:00,14352.0,14900.0,14900.0,14230.0,5854.55928319
2018-01-11 00:00:00,14900.0,13256.0,14999.0,13000.0,12549.45119811
2018-01-11 04:00:00,13255.0,13554.0,13614.0,12639.0,21162.11527889
2018-01-11 08:00:00,13553.0,13475.0,13833.0,13116.0,8799.53091791
2018-01-11 12:00:00,13475.0,13959.0,14260.0,13446.0,10783.19110399
2018-01-11 16:00:00,13959.0,13383.0,14190.0,13205.0,7963.9553341
